モンスタID,モンスタ名,ひらがな名,Level,Hp,Str,Agi,Vit,Int,Dex,Luk,Atk1,Atk2,Def,Mdef,BaseExp,JobExp,Size,属性,種族,BOSS属性,MvpExp,アクティブ属性,リンク属性,詠唱反応,ルート属性,ニューマ有効,固定,召還モンスタ
1001,スコーピオン,すこーぴおん,34,3950,22,25,20,15,29,25,140,7,16,5,1777,1382,0,23,4,0,0,1,0,1,0,0,0,
1002,ポリン,ぽりん,1,60,6,1,1,0,6,5,1,1,2,5,1,1,1,21,3,0,0,0,0,0,1,0,0,
1004,ホーネット,ほーねっと,9,275,12,44,4,5,6,5,10,3,7,1,15,10,0,24,4,0,0,0,1,0,0,0,0,
1005,ファミリアー,ふぁみりあー,9,333,15,19,20,5,20,1,9,9,26,5,9,8,0,27,2,0,0,1,0,0,0,0,0,
1007,ファブル,ふぁぶる,1,75,12,5,5,5,12,5,2,3,24,0,2,1,0,22,4,0,0,0,0,0,0,0,0,
1008,プパ,ぷぱ,2,246,11,1,3,3,8,6,2,3,4,2,2,3,0,22,4,0,0,0,0,0,0,0,1,
1009,コンドル,こんどる,5,189,14,7,6,0,13,5,2,6,7,5,7,5,1,24,2,0,0,0,1,0,0,0,0,1124(1)/1122(1)/1123(1)/1125(1)/1126(1)
1010,ウィロー,うぃろー,4,231,13,3,8,5,12,5,4,5,38,2,6,3,1,22,3,0,0,0,0,0,0,0,0,
1011,チョンチョン,ちょんちょん,4,190,13,4,4,0,8,5,4,3,27,0,4,3,0,24,4,0,0,0,0,0,0,0,0,
1012,ロッダフロッグ,ろっだふろっぐ,5,304,12,6,4,0,14,9,5,4,12,5,8,5,1,21,5,0,0,0,0,0,0,0,0,
1013,ウルフ,うるふ,16,687,17,14,30,15,33,5,48,11,55,3,42,24,1,22,2,0,0,0,1,0,0,0,0,
1014,スポア,すぽあ,13,467,5,5,10,0,12,0,18,8,12,10,18,18,1,21,3,0,0,0,0,0,0,0,0,
1015,ゾンビ,ぞんび,15,507,5,8,17,0,15,0,23,12,20,3,27,12,1,29,1,0,0,1,0,0,0,0,0,
1016,アーチャースケルトン,あーちゃーすけるとん,36,3648,10,29,20,10,52,15,114,23,47,10,2029,1148,1,29,1,0,0,1,0,0,0,1,0,
1018,クリーミー,くりーみー,16,710,6,43,1,0,21,20,45,9,28,20,32,18,0,24,4,0,0,0,0,0,0,0,0,
1019,ペコペコ,ぺこぺこ,17,755,11,10,13,5,28,5,42,7,48,0,123,52,2,23,2,0,0,0,1,0,0,0,0,
