モンスタID,モンスタ名,ドロップ1,ドロップ率,ドロップ2,ドロップ率,ドロップ3,ドロップ率,ドロップ4,ドロップ率,ドロップ5,ドロップ率,ドロップ6,ドロップ率,ドロップ7,ドロップ率,ドロップ8,ドロップ率
1001,スコーピオン,サソリの尻尾,5500,黄ポーション,0,けっこうかたい皮,210,エルニウム原石,57,きれいな小石,100,レッドブラッド,70,錆びた鉄,20,スコーピオンカード,1
1002,ポリン,ゼロピー,7000,空きビン,3000,リンゴ,1000,べとべとする液体,400,リンゴ,1000,ナイフ [4],100,まだ熟してないリンゴ,20,ポリンカード,1
1004,ホーネット,ハチの針,9000,ゼロピー,3500,緑ハーブ,350,ハチ蜜,150,ウィンドオブヴェルデュール,80,マインゴーシュ [4],15,リンゴ,0,ホーネットカード,1
1005,ファミリアー,こうもりの牙,5500,赤ハーブ,700,ブドウ,100,ハエの羽,50,スピードアップポーション,50,ファルシオン [4],20,リボン [1],15,ファミリアーカード,1
1007,ファブル,綿毛,6500,クローバー,1000,緑ハーブ,700,やわらかな毛,500,クラブ [3],200,クラブ [4],80,エメラルド,5,ファブルカード,1
1008,プパ,さなぎの皮,5500,かたい皮,1000,べとべとする液体,600,べとべとする液体,600,鉄鉱石,200,プラコン,80,ガード [1],2,プパカード,1
1009,コンドル,鳥のつめ,9000,矢,5500,鳥の羽毛,2000,オレンジ,600,にく,400,ボウ [4],150,イエロージェムストーン,80,コンドルカード,1
1010,ウィロー,木の根,9000,乾いた木屑,3500,硬い木屑,2000,古木の露,1500,きめの細かい木屑,1000,いも,700,木屑,100,ウィローカード,1
1011,チョンチョン,かたい皮,6500,鉄鉱石,150,ゼロピー,1500,鉄,50,ハエの羽,100,カッター [4],55,チョンチョン人形,5,チョンチョンカード,1
1012,ロッダフロッグ,べとべと水かき,9000,空きビン,2000,かえるの卵,500,緑ハーブ,300,エメラルド,7,リンゴ,0,リンゴ,0,ロッダフロッグカード,1
1013,ウルフ,狼の爪,9000,獣の皮,5500,化け物のエサ,1050,にく,650,イチゴ,600,エンベルタコン,20,メントル [1],10,ウルフカード,1
1014,スポア,きのこの胞子,9000,赤ハーブ,800,イチゴ,600,青ハーブ,50,ハット,40,スポア人形,10,毒キノコの胞子,5,スポアカード,1
1015,ゾンビ,亡者の爪,9000,べとべとする液体,1000,オパール,70,亡者の牙,50,呪われたルビー,5,リンゴ,0,リンゴ,0,ゾンビカード,1
1016,アーチャースケルトン,スケルボーン,4500,赤ポーション,0,炎の矢筒,0,ボウ [3],150,オリデオコン原石,70,グレイトボウ [3],35,名射手のりんご,3,アーチャースケルトンカード,1
1018,クリーミー,蝶の鱗粉,8995,花,490,ハチ蜜,173,蝶の羽,78,ライトニングボルトLv3,100,シルクローブ [1],15,装飾用花,2,クリーミーカード,1
1019,ペコペコ,鳥のくちばし,9000,オレンジ,1000,赤ハーブ,900,黄ハーブ,200,ワンド [2],100,サンダル [1],20,リンゴ,0,ペコペコカード,1
1020,マンドラゴラ,植物の茎,9000,緑ハーブ,350,若芽,300,イエローライブ,50,スピアー [4],30,大地の鞭,10,四葉のクローバー,3,マンドラゴラカード,1
