モンスタID,モンスタ名,マップID,出現タイプ,出現数,出現時間,出現時間ランダム幅,備考,サブマップソートNo,サブマップ名
3184,スカイビホルダー,1@air1,2.5,11,0,0,,0,2部屋目（船内上層）
3182,スカイロータージャイロ,1@air1,2.5,9,0,0,,0,2部屋目（船内上層）
3183,スカイグレムリン,1@air1,2.5,9,0,0,,1,3部屋目（船内下層）
3186,レッサーワイバーン,1@air1,2.5,9,0,0,,1,3部屋目（船内下層）
3184,スカイビホルダー,1@air2,2.5,9,0,0,,0,4部屋目（船内上層）
3185,ワイバーンキッド,1@air2,2.5,9,0,0,,0,4部屋目（船内上層）
3181,暴走した船長ペルロック,1@air2,2.5,1,0,0,,1,5部屋目（甲板）：ペルロックは選択
3187,ワイバーン,1@air2,2.5,1,0,0,,1,5部屋目（甲板）：ペルロックは選択
3188,怒りの船長ペルロック,1@air2,2.5,1,0,0,,1,5部屋目（甲板）：ペルロックは選択
2192,子分タコ,1@cash,2.5,45,0,0,,0,西エリア初期
1068,ヒドラ,1@cash,2.5,7,0,0,,0,西エリア初期
1784,スタポ,1@cash,2.5,2,0,0,,0,西エリア初期
2193,頭領タコの足,1@cash,2.5,1,0,0,,0,西エリア初期
2192,子分タコ,1@cash,2.5,26,0,0,,1,東エリア初期
1068,ヒドラ,1@cash,2.5,8,0,0,,1,東エリア初期
1784,スタポ,1@cash,2.5,2,0,0,,1,東エリア初期
2175,用心棒イカ,1@cash,2.5,1,0,0,,1,東エリア初期
2193,頭領タコの足,1@cash,2.5,1,0,0,,1,東エリア初期
2192,子分タコ,1@cash,2.5,32,0,0,,2,南西エリア初期
1068,ヒドラ,1@cash,2.5,16,0,0,,2,南西エリア初期
1784,スタポ,1@cash,2.5,2,0,0,,2,南西エリア初期
2193,頭領タコの足,1@cash,2.5,1,0,0,,2,南西エリア初期
2192,子分タコ,1@cash,2.5,42,0,0,,3,南東エリア初期
1068,ヒドラ,1@cash,2.5,10,0,0,,3,南東エリア初期
1784,スタポ,1@cash,2.5,2,0,0,,3,南東エリア初期
2175,用心棒イカ,1@cash,2.5,1,0,0,,3,南東エリア初期
2193,頭領タコの足,1@cash,2.5,1,0,0,,3,南東エリア初期
2194,頭領タコ,1@cash,2.5,1,0,0,,4,北エリア固定
1290,ジェネラルスケルトン,1@cata,0,40,0,0,,,
1291,デッドリーレイス,1@cata,0,40,0,0,,,
1298,ゾンビマスター,1@cata,0,40,0,0,,,
1117,イビルドルイド,1@cata,0,30,0,0,,,
1869,フレームスカル,1@cata,0,30,0,0,,,
1132,カーリッツバーグ,1@cata,0,20,0,0,,,
1263,ウィンドゴースト,1@cata,0,20,0,0,,,
1509,ルード,1@cata,0,20,0,0,,,
1699,エンシェントミミック,1@cata,0,10,0,0,,,
1867,バンシー,1@cata,0,10,0,0,,,
1302,ダークイリュージョン,1@cata,0,1,0,0,,,
1016,アーチャースケルトン,1@cata,0,?,0,0,,,
1028,ソルジャースケルトン,1@cata,0,?,0,0,,,
1016,アーチャースケルトン,1@cata,3,,0,0,1290,,
1028,ソルジャースケルトン,1@cata,3,,0,0,1290,,
3010,生者のオークベイビー,1@dth1,2.5,?,0,0,,,
3011,生者の子デザートウルフ,1@dth1,2.5,?,0,0,,,
3012,生者のマリンスフィアー,1@dth1,2.5,?,0,0,,,
3013,生者のオークウォリアー,1@dth2,2.5,?,0,0,,,
3014,生者のデザートウルフ,1@dth2,2.5,?,0,0,,,
3015,生者のフェン,1@dth2,2.5,?,0,0,,,
3016,死者のオークゾンビ,1@dth3,2.5,?,0,0,,,
3017,死者のベリット,1@dth3,2.5,?,0,0,,,
3018,死者のメガロドン,1@dth3,2.5,?,0,0,,,
2376,魔王の部下,1@ecl,2.5,8,0,0,,,
2375,怪しい存在,1@ecl,2.5,4,0,0,,,
3091,ブリナラネア,1@eom,2.5,1,0,0,,,
