モンスタID,モンスタ名,使用スキル名,スキルレベル
1001,スコーピオン,npc_fireattack,1
1001,スコーピオン,npc_poison,3
1002,ポリン,npc_emotion,1
1002,ポリン,npc_waterattack,1
1004,ホーネット,npc_piercingatt,2
1004,ホーネット,npc_windattack,1
1005,ファミリアー,npc_blindattack,1
1005,ファミリアー,npc_darknessattack,1
1007,ファブル,npc_groundattack,1
1007,ファブル,npc_metamorphosis,1
1008,プパ,npc_emotion,1
1008,プパ,npc_metamorphosis,1
1009,コンドル,bs_adrenaline,1
1009,コンドル,npc_emotion,1
1009,コンドル,npc_windattack,3
1010,ウィロー,npc_groundattack,1
1010,ウィロー,npc_telekinesisattack,5
1011,チョンチョン,npc_windattack,1
1012,ロッダフロッグ,npc_waterattack,1
1013,ウルフ,npc_groundattack,2
1013,ウルフ,npc_provocation,1
1014,スポア,npc_emotion,1
1014,スポア,npc_provocation,1
1014,スポア,npc_sleepattack,1
1014,スポア,npc_waterattack,1
1015,ゾンビ,npc_poison,1
1015,ゾンビ,npc_undeadattack,1
1016,アーチャースケルトン,ac_double,1
1016,アーチャースケルトン,npc_undeadattack,2
1018,クリーミー,al_teleport,1
1018,クリーミー,npc_sleepattack,3
1018,クリーミー,npc_windattack,1
1019,ペコペコ,as_sonicblow,5
1019,ペコペコ,npc_emotion,1
1019,ペコペコ,npc_fireattack,1
1019,ペコペコ,npc_provocation,1
1020,マンドラゴラ,npc_groundattack,1
1023,オークウォリアー,npc_emotion,1
1023,オークウォリアー,npc_groundattack,2
1023,オークウォリアー,npc_smoking,1
1024,ワームテール,npc_groundattack,2
1025,スネイク,npc_groundattack,1
1025,スネイク,npc_poison,2
1026,ムナック,npc_emotion,1
1026,ムナック,npc_stunattack,2
1028,ソルジャースケルトン,npc_comboattack,1
1028,ソルジャースケルトン,npc_emotion,1
1028,ソルジャースケルトン,npc_undeadattack,1
1029,イシス,npc_criticalslash,1
1029,イシス,npc_darknessattack,1
1030,アナコンダク,npc_poison,3
1030,アナコンダク,npc_poisonattack,1
1031,ポポリン,npc_emotion,1
1031,ポポリン,npc_poison,2
1031,ポポリン,npc_poisonattack,1
1032,ベリット,npc_emotion,1
1032,ベリット,npc_poison,2
1033,エルダーウィロー,mg_firebolt,3
1033,エルダーウィロー,npc_emotion,1
1033,エルダーウィロー,npc_fireattack,2
1034,タラフロッグ,npc_waterattack,3
1035,ハンターフライ,al_teleport,1
1035,ハンターフライ,npc_blooddrain,1
1035,ハンターフライ,npc_comboattack,1
1035,ハンターフライ,npc_emotion,1
1035,ハンターフライ,npc_windattack,1
1036,グール,npc_poison,3
1037,サイドワインダー,kn_pierce,5
1037,サイドワインダー,npc_poison,3
1037,サイドワインダー,npc_poisonattack,3
1038,オシリス,al_teleport,1
1038,オシリス,as_venomdust,5
1038,オシリス,asc_meteorassault,10
1038,オシリス,mg_stonecurse,10
1038,オシリス,npc_agiup,5
1038,オシリス,npc_callslave,1
1038,オシリス,npc_curseattack,5
1038,オシリス,npc_darkbreath,5
1038,オシリス,npc_darkthunder,10
1038,オシリス,npc_poisonattack,5
1038,オシリス,npc_powerup,5
1038,オシリス,npc_summonslave,7
1038,オシリス,npc_summonslave,5
1038,オシリス,sm_bash,10
1038,オシリス,wz_quagmire,5
1039,バフォメット,al_heal,11
1039,バフォメット,al_teleport,1
1039,バフォメット,kn_brandishspear,20
1039,バフォメット,mo_bodyrelocation,1
1039,バフォメット,npc_armorbrake,10
1039,バフォメット,npc_callslave,1
1039,バフォメット,npc_darkbreath,5
1039,バフォメット,npc_darkstrike,10
1039,バフォメット,npc_earthquake,5
1039,バフォメット,npc_guidedattack,5
1039,バフォメット,npc_helljudgement,5
1039,バフォメット,npc_powerup,5
1039,バフォメット,npc_summonslave,6
1039,バフォメット,npc_summonslave,4
1039,バフォメット,wz_vermilion,20
1040,ゴーレム,cr_autoguard,2
1040,ゴーレム,npc_emotion,1
1040,ゴーレム,npc_stunattack,3
1041,マミー,npc_comboattack,1
1041,マミー,npc_emotion,1
1041,マミー,npc_undeadattack,1
1042,スチールチョンチョン,npc_silenceattack,2
1042,スチールチョンチョン,npc_windattack,1
1044,オボンヌ,npc_emotion,1
1044,オボンヌ,npc_waterattack,3
1044,オボンヌ,pr_lexdivina,5
1045,マルク,npc_emotion,1
1045,マルク,npc_stunattack,2
1045,マルク,npc_waterattack,2
1046,ドッペルゲンガー,al_decagi,10
1046,ドッペルゲンガー,al_heal,11
1046,ドッペルゲンガー,al_teleport,1
1046,ドッペルゲンガー,bs_hammerfall,11
1046,ドッペルゲンガー,cr_autoguard,10
1046,ドッペルゲンガー,kn_twohandquicken,20
1046,ドッペルゲンガー,lk_spiralpierce,5
1046,ドッペルゲンガー,npc_armorbrake,10
1046,ドッペルゲンガー,npc_callslave,1
1046,ドッペルゲンガー,npc_criticalslash,1
1046,ドッペルゲンガー,npc_powerup,5
1046,ドッペルゲンガー,npc_summonslave,1
1047,ペコペコの卵,npc_emotion,1
1047,ペコペコの卵,npc_metamorphosis,1
1048,盗蟲の卵,npc_emotion,1
1048,盗蟲の卵,npc_metamorphosis,4
1049,ピッキ,npc_emotion,1
1049,ピッキ,npc_fireattack,1
1050,すごいピッキ,npc_emotion,1
1050,すごいピッキ,npc_fireattack,1
1051,盗蟲,npc_agiup,1
1052,ロッカー,npc_emotion,1
1052,ロッカー,npc_groundattack,1
1053,雌盗蟲,npc_agiup,1
1054,雄盗蟲,npc_agiup,1
1054,雄盗蟲,npc_darknessattack,?
1055,ムカー,npc_groundattack,3
1055,ムカー,npc_piercingatt,3
1055,ムカー,npc_splashattack,1
1056,スモーキー,al_heal,5
1056,スモーキー,npc_emotion,1
1056,スモーキー,npc_groundattack,2
1056,スモーキー,npc_provocation,1
1056,スモーキー,tf_hiding,1
1057,ヨーヨー,am_potionpitcher,1
1057,ヨーヨー,npc_emotion,1
1057,ヨーヨー,npc_groundattack,1
1057,ヨーヨー,npc_provocation,1
1057,ヨーヨー,sm_provoke,10
1057,ヨーヨー,tf_throwstone,1
1058,メタルラ,npc_emotion,1
1058,メタルラ,npc_fireattack,1
1058,メタルラ,npc_silenceattack,3
1059,ミストレス,al_heal,11
1059,ミストレス,al_pneuma,1
1059,ミストレス,al_teleport,1
1059,ミストレス,npc_agiup,5
1059,ミストレス,npc_callslave,1
1059,ミストレス,npc_guidedattack,5
1059,ミストレス,npc_silenceattack,5
1059,ミストレス,npc_stop,1
1059,ミストレス,npc_summonslave,5
1059,ミストレス,npc_summonslave,4
1059,ミストレス,npc_widesilence,5
1059,ミストレス,wz_jupitel,28
1060,ビッグフット,npc_emotion,1
1060,ビッグフット,npc_groundattack,1
1060,ビッグフット,npc_stunattack,2
1060,ビッグフット,sm_endure,1
1061,ナイトメア,npc_blindattack,3
1061,ナイトメア,npc_curseattack,3
1061,ナイトメア,npc_mentalbreaker,1
1061,ナイトメア,npc_telekinesisattack,5
1062,サンタポリン,npc_emotion,1
1062,サンタポリン,npc_holyattack,1
1064,メガロドン,npc_changetelekinesis,1
1064,メガロドン,npc_undeadattack,2
1065,ストラウフ,mg_frostdiver,9
1065,ストラウフ,mg_lightningbolt,3
1065,ストラウフ,npc_emotion,1
1065,ストラウフ,npc_waterattack,1
1065,ストラウフ,wz_waterball,3
1066,バドン,cr_autoguard,2
1066,バドン,npc_stunattack,2
1066,バドン,npc_waterattack,1
1067,カナトウス,cr_autoguard,2
1067,カナトウス,npc_keeping,1
1067,カナトウス,npc_waterattack,2
1068,ヒドラ,npc_waterattack,2
1069,ソードフィッシュ,npc_waterattack,1
1069,ソードフィッシュ,wz_waterball,3
1070,ククレ,npc_emotion,1
1070,ククレ,npc_waterattack,1
1071,パイレーツスケル,npc_undeadattack,1
1071,パイレーツスケル,sm_bash,5
1072,カホ,mg_firebolt,3
1072,カホ,npc_fireattack,3
1073,カニ,npc_waterattack,1
1074,お化け貝,npc_waterattack,1
1076,スケルトン,npc_emotion,1
1076,スケルトン,npc_undeadattack,1
1077,ポイズンスポア,npc_emotion,1
1077,ポイズンスポア,npc_poison,3
1077,ポイズンスポア,npc_poisonattack,1
1086,黄金蟲,al_heal,11
1086,黄金蟲,al_teleport,1
1086,黄金蟲,cr_reflectshield,10
1086,黄金蟲,hp_assumptio,5
1086,黄金蟲,mc_mammonite,20
1086,黄金蟲,mg_fireball,20
1086,黄金蟲,npc_guidedattack,5
1086,黄金蟲,npc_summonslave,10
1086,黄金蟲,sm_magnum,20
1086,黄金蟲,tf_hiding,1
1087,オークヒーロー,al_decagi,10
1087,オークヒーロー,al_heal,11
1087,オークヒーロー,al_teleport,1
1087,オークヒーロー,cr_autoguard,10
1087,オークヒーロー,kn_twohandquicken,20
1087,オークヒーロー,lk_spiralpierce,5
1087,オークヒーロー,mg_thunderstorm,15
1087,オークヒーロー,npc_armorbrake,10
1087,オークヒーロー,npc_callslave,1
1087,オークヒーロー,npc_groundattack,5
1087,オークヒーロー,npc_guidedattack,5
1087,オークヒーロー,npc_powerup,5
1087,オークヒーロー,npc_summonslave,8
1088,ボーカル,al_teleport,1
1088,ボーカル,npc_comboattack,2
1088,ボーカル,npc_groundattack,1
1088,ボーカル,npc_silenceattack,3
1088,ボーカル,npc_summonslave,8
1088,ボーカル,npc_summonslave,5
1089,トード,al_teleport,1
1089,トード,npc_summonslave,6
1089,トード,npc_summonslave,5
1089,トード,npc_waterattack,3
1090,マスターリング,al_teleport,1
1090,マスターリング,npc_summonslave,10
1090,マスターリング,npc_summonslave,5
1090,マスターリング,npc_waterattack,5
1091,ドラゴンフライ,al_teleport,1
1091,ドラゴンフライ,npc_silenceattack,5
1091,ドラゴンフライ,npc_summonslave,8
1091,ドラゴンフライ,npc_summonslave,5
1091,ドラゴンフライ,npc_windattack,5
1092,さすらい狼,al_teleport,1
1092,さすらい狼,npc_comboattack,1
1092,さすらい狼,npc_emotion,1
1092,さすらい狼,npc_groundattack,3
1092,さすらい狼,npc_summonslave,5
1093,エクリプス,al_teleport,1
1093,エクリプス,npc_lick,3
1093,エクリプス,npc_summonslave,8
1093,エクリプス,npc_summonslave,5
1094,アンバーナイト,npc_emotion,1
1094,アンバーナイト,npc_keeping,1
1094,アンバーナイト,npc_waterattack,1
1095,アンドレ,npc_emotion,1
1095,アンドレ,npc_groundattack,2
1096,エンジェリング,al_heal,9
1096,エンジェリング,al_teleport,1
1096,エンジェリング,mg_safetywall,5
1096,エンジェリング,npc_emotion,1
1096,エンジェリング,npc_holyattack,5
1096,エンジェリング,npc_summonslave,5
1096,エンジェリング,npc_summonslave,3
1096,エンジェリング,sa_reverseorcish,1
1097,蟻の卵(変異種),npc_emotion,1
1097,蟻の卵(変異種),npc_metamorphosis,1
1098,アヌビス,al_heal,5
1098,アヌビス,al_teleport,1
1098,アヌビス,as_sonicblow,10
1098,アヌビス,mg_thunderstorm,5
1098,アヌビス,npc_criticalwound,2
1098,アヌビス,npc_curseattack,1
1098,アヌビス,npc_darkbreath,3
1098,アヌビス,npc_darkstrike,9
1098,アヌビス,npc_magicalattack,1
1098,アヌビス,npc_undeadattack,3
1098,アヌビス,wz_jupitel,3
1099,アルギオペ,as_venomdust,1
1099,アルギオペ,npc_emotion,1
1099,アルギオペ,npc_poison,3
1099,アルギオペ,npc_poisonattack,2
1100,アルゴス,npc_poison,2
1100,アルゴス,npc_poisonattack,1
1100,アルゴス,pf_spiderweb,1
1101,バフォメット.Jr,al_teleport,1
1101,バフォメット.Jr,kn_twohandquicken,?
1101,バフォメット.Jr,npc_curseattack,3
1101,バフォメット.Jr,npc_darknessattack,2
1101,バフォメット.Jr,npc_emotion,1
1101,バフォメット.Jr,npc_hallucination,1
1101,バフォメット.Jr,sa_dispell,1
1102,バースリー,npc_curseattack,3
1102,バースリー,npc_emotion,1
1102,バースリー,npc_energydrain,1
1102,バースリー,npc_silenceattack,3
1102,バースリー,npc_stop,1
1103,キャラメル,npc_groundattack,1
1103,キャラメル,npc_piercingatt,5
1104,コーコー,npc_emotion,1
1104,コーコー,npc_groundattack,1
1104,コーコー,tf_throwstone,1
1105,デニーロ,npc_emotion,1
1105,デニーロ,npc_groundattack,2
1106,デザートウルフ,npc_emotion,1
1106,デザートウルフ,npc_fireattack,1
1106,デザートウルフ,tf_sprinklesand,1
1107,子デザートウルフ,npc_emotion,1
1107,子デザートウルフ,npc_fireattack,1
1108,デビアス,npc_emotion,1
1108,デビアス,npc_emotion_on,1
1108,デビアス,npc_waterattack,3
1108,デビアス,wz_waterball,4
1109,デビルチ,al_teleport,1
1109,デビルチ,npc_curseattack,3
1109,デビルチ,npc_darknessattack,1
1109,デビルチ,npc_darkthunder,3
1109,デビルチ,npc_energydrain,1
1110,ドケビ,bs_adrenaline,1
1110,ドケビ,mc_mammonite,5
1110,ドケビ,npc_darknessattack,1
1110,ドケビ,npc_emotion,1
1111,ドレインリアー,npc_blindattack,3
1111,ドレインリアー,npc_blooddrain,1
1111,ドレインリアー,npc_darknessattack,1
1112,ドレイク,al_decagi,10
1112,ドレイク,al_teleport,1
1112,ドレイク,bs_maximize,1
1112,ドレイク,npc_agiup,10
1112,ドレイク,npc_armorbrake,10
1112,ドレイク,npc_callslave,1
1112,ドレイク,npc_guidedattack,5
1112,ドレイク,npc_summonslave,5
1112,ドレイク,npc_summonslave,4
1112,ドレイク,npc_waterattack,5
1112,ドレイク,wz_waterball,10
1113,ドロップス,npc_emotion,1
1113,ドロップス,npc_fireattack,1
1114,ダスティネス,npc_blindattack,3
1114,ダスティネス,npc_silenceattack,3
1114,ダスティネス,npc_sleepattack,3
1114,ダスティネス,npc_windattack,1
1115,エドガ,al_heal,11
1115,エドガ,al_teleport,1
1115,エドガ,am_demonstration,5
1115,エドガ,mg_fireball,20
1115,エドガ,npc_bleeding,5
1115,エドガ,npc_callslave,1
1115,エドガ,npc_powerup,5
1115,エドガ,npc_summonslave,8
1115,エドガ,npc_summonslave,5
1115,エドガ,sm_endure,1
1115,エドガ,sm_magnum,20
1116,エギラ,cr_autoguard,2
1116,エギラ,npc_blindattack,5
1116,エギラ,npc_metamorphosis,?
1116,エギラ,npc_telekinesisattack,5
1117,イビルドルイド,npc_blindattack,3
1117,イビルドルイド,npc_curseattack,3
1117,イビルドルイド,npc_darkbreath,?
1117,イビルドルイド,npc_energydrain,1
1117,イビルドルイド,npc_undeadattack,3
1117,イビルドルイド,wz_heavendrive,5
1118,フローラ,npc_blooddrain,1
1118,フローラ,npc_emotion,1
1118,フローラ,npc_groundattack,1
1119,フリルドラ,as_cloaking,1
1119,フリルドラ,npc_comboattack,1
1119,フリルドラ,npc_emotion,1
1119,フリルドラ,npc_fireattack,1
1120,ゴーストリング,al_teleport,1
1120,ゴーストリング,mg_soulstrike,9
1120,ゴーストリング,npc_darkbreath,4
1120,ゴーストリング,npc_emotion,1
1120,ゴーストリング,npc_invisible,1
1120,ゴーストリング,npc_summonslave,5
1120,ゴーストリング,npc_telekinesisattack,5
1121,ガイアス,ht_sandman,5
1121,ガイアス,npc_emotion,1
1121,ガイアス,npc_groundattack,1
1121,ガイアス,tf_sprinklesand,1
1122,ゴブリン長男,npc_emotion,1
1122,ゴブリン長男,npc_windattack,2
1123,ゴブリン次男,npc_emotion,1
1123,ゴブリン次男,npc_fireattack,2
1124,ゴブリン三男,npc_emotion,1
1124,ゴブリン三男,npc_poisonattack,2
1125,ゴブリン四男,npc_emotion,1
1125,ゴブリン四男,npc_groundattack,2
1126,ゴブリン五男,npc_emotion,1
1126,ゴブリン五男,npc_waterattack,2
1127,ホード,as_cloaking,1
1127,ホード,npc_groundattack,3
1128,ホルン,npc_groundattack,1
1128,ホルン,npc_piercingatt,2
1129,ホロン,al_teleport,1
1129,ホロン,mg_sight,1
1129,ホロン,npc_comboattack,2
1129,ホロン,npc_fireattack,1
1129,ホロン,npc_hallucination,1
1130,ジャック,npc_blindattack,3
1130,ジャック,npc_curseattack,3
1130,ジャック,npc_emotion,1
1130,ジャック,npc_fireattack,3
1131,ジョーカー,mg_fireball,5
1131,ジョーカー,mg_frostdiver,9
1131,ジョーカー,mg_soulstrike,9
1131,ジョーカー,npc_attrichange,1
1131,ジョーカー,npc_darkthunder,5
1131,ジョーカー,npc_emotion,1
1131,ジョーカー,npc_emotion_on,1
1131,ジョーカー,npc_energydrain,1
1131,ジョーカー,npc_windattack,2
1131,ジョーカー,wz_heavendrive,5
1131,ジョーカー,wz_quagmire,5
1132,カーリッツバーグ,al_teleport,1
1132,カーリッツバーグ,as_grimtooth,5
1132,カーリッツバーグ,bs_maximize,5
1132,カーリッツバーグ,npc_splashattack,1
1132,カーリッツバーグ,npc_stunattack,3
1133,アックスコボルド,npc_emotion,1
1133,アックスコボルド,npc_windattack,3
1134,ハンマーコボルド,npc_emotion,1
1134,ハンマーコボルド,npc_poisonattack,3
1135,メイスコボルド,npc_emotion,1
1135,メイスコボルド,npc_fireattack,3
1138,白蓮玉,ht_flasher,5
1138,白蓮玉,npc_emotion,1
1138,白蓮玉,npc_stunattack,3
1138,白蓮玉,npc_suicide,?
1138,白蓮玉,npc_undeadattack,1
1139,マンティス,npc_comboattack,1
1139,マンティス,npc_emotion,1
1139,マンティス,npc_groundattack,2
1140,マルドゥーク,al_teleport,1
1140,マルドゥーク,mg_firebolt,3
1140,マルドゥーク,mg_firewall,5
1140,マルドゥーク,npc_blindattack,3
