ID,アイテム名,ひらがな名,買い値,重量,SE,HSE,仮:課金アイテム,仮:AS
18935,…いる [1],…いる [1],20,1,0,0,0,0
17627,[15th]復刻コスたまシールの箱,[15th]ふっこくこすたましーるのはこ,x,0,0,0,0,0
17909,[16thPKG]プラロック精錬フォースの箱,[16thPKG]ぷらろっくせいれんふぉーすのはこ,x,0,0,0,0,0
17623,[2017年]究極精錬チケットの箱,[2017ねん]きゅうきょくせいれんちけっとのはこ,x,1,0,0,0,0
17626,[2017年]プラロック精錬フォースの箱,[2017ねん]ぷらろっくせいれんふぉーすのはこ,x,0,0,0,0,0
17904,[2018]復刻コスたまシールの箱,[2018]ふっこくこすたましーるのはこ,x,0,0,0,0,0
17907,[2018summer]プラロック精錬フォースの箱,[2018summer]ぷらろっくせいれんふぉーすのはこ,x,0,0,0,0,0
17905,[2018年]究極精錬チケットの箱,[2018ねん]きゅうきょくせいれんちけっとのはこ,x,1,0,0,0,0
17906,[2018年]高級オイルの箱,[2018ねん]こうきゅうおいるのはこ,x,0,0,0,0,0
17913,[2019]復刻コスたまシールの箱,[2019]ふっこくこすたましーるのはこ,x,0,0,0,0,0
17910,[2019年]究極精錬チケットの箱,[2019ねん]きゅうきょくせいれんちけっとのはこ,x,1,0,0,0,0
27022,[ECO] サラマンダー・アルマカード,[ECO] さらまんだー・あるまかーど,20,1,0,0,0,0
23181,[ECO] サラマンダー・アルマの想い,[ECO] さらまんだー・あるまのおもい,20,1,0,0,0,0
29230,[ECO] タイニー・アルマカード,[ECO] たいにー・あるまかーど,20,1,0,0,0,0
23179,[ECO] タイニー・アルマの想い,[ECO] たいにー・あるまのおもい,20,1,0,0,0,0
27021,[ECO] ブリキングRX1・アルマカード,[ECO] ぶりきんぐRX1・あるまかーど,20,1,0,0,0,0
23180,[ECO] ブリキングRX1・アルマの想い,[ECO] ぶりきんぐRX1・あるまのおもい,20,1,0,0,0,0
27024,[ECO] ミニー・ドゥ・アルマカード,[ECO] みにー・どぅ・あるまかーど,20,1,0,0,0,0
23183,[ECO] ミニー・ドゥ・アルマの想い,[ECO] みにー・どぅ・あるまのおもい,20,1,0,0,0,0
27023,[ECO] モーモー・アルマカード,[ECO] もーもー・あるまかーど,20,1,0,0,0,0
23182,[ECO] モーモー・アルマの想い,[ECO] もーもー・あるまのおもい,20,1,0,0,0,0
31010,[LoVA] キマカード,[LoVA] きまかーど,20,1,0,0,0,0
31011,[LoVA] 真化キマカード,[LoVA] しんかきまかーど,20,1,0,0,0,0
31007,[LoVA] 真化ハデスカード,[LoVA] しんかはですかーど,20,1,0,0,0,0
31013,[LoVA] 真化バハムートカード,[LoVA] しんかばはむーとかーど,20,1,0,0,0,0
31015,[LoVA] 真化ラグナロクカード,[LoVA] しんからぐなろくかーど,20,1,0,0,0,0
31009,[LoVA] 真化ルールーカード,[LoVA] しんかるーるーかーど,20,1,0,0,0,0
31006,[LoVA] ハデスカード,[LoVA] はですかーど,20,1,0,0,0,0
31012,[LoVA] バハムートカード,[LoVA] ばはむーとかーど,20,1,0,0,0,0
31014,[LoVA] ラグナロクカード,[LoVA] らぐなろくかーど,20,1,0,0,0,0
31008,[LoVA] ルールーカード,[LoVA] るーるーかーど,20,1,0,0,0,0
20409,[衣装] …いる,[いしょう] …いる,0,0,0,0,0,0
19577,[衣装] 10周年記念ポリン帽,[いしょう] 10しゅうねんきねんぽりんぼう,0,0,0,0,0,0
31317,[衣装] 15周年記念ウィング,[いしょう] 15しゅうねんきねんうぃんぐ,0,0,0,0,0,0
19954,[衣装] 3Dメガネ,[いしょう] 3Dめがね,0,0,0,0,0,0
19631,[衣装] BOSS帽子,[いしょう] BOSSぼうし,0,0,0,0,0,0
31579,[衣装] I LOVE GAMES,[いしょう] I LOVE GAMES,0,0,0,0,0,0
31488,[衣装] MVP,[いしょう] MVP,0,0,0,0,0,0
19700,[衣装] RWC2012勝利の王冠,[いしょう] RWC2012しょうりのおうかん,0,0,0,0,0,0
19949,[衣装] RWC2013記念帽子,[いしょう] RWC2013きねんぼうし,0,0,0,0,0,0
20387,[衣装] X字ヘアピン,[いしょう] Xじへあぴん,0,0,0,0,0,0
19528,[衣装] アイアンケイン,[いしょう] あいあんけいん,0,0,0,0,0,0
31145,[衣装] アイス・フォン・フリージンガー69世,[いしょう] あいす・ふぉん・ふりーじんがー69せい,0,0,0,0,0,0
19813,[衣装] アイスクリーム帽子,[いしょう] あいすくりーむぼうし,0,0,0,0,0,0
31297,[衣装] 愛の実,[いしょう] あいのみ,0,0,0,0,0,0
20157,[衣装] 青い魚,[いしょう] あおいさかな,0,0,0,0,0,0
19866,[衣装] 青いパジャマ帽子,[いしょう] あおいぱじゃまぼうし,0,0,0,0,0,0
20159,[衣装] 青いバンダナ,[いしょう] あおいばんだな,0,0,0,0,0,0
31137,[衣装] 青烏の薔薇飾り,[いしょう] あおからすのばらかざり,0,0,0,0,0,0
31045,[衣装] 蒼のリアリボン,[いしょう] あおのりありぼん,0,0,0,0,0,0
20046,[衣装] 青薔薇の飾り,[いしょう] あおばらのかざり,0,0,0,0,0,0
31449,[衣装] 青薔薇の眼帯,[いしょう] あおばらのがんたい,0,0,0,0,0,0
19804,[衣装] 紅い風車のかんざし,[いしょう] あかいかざぐるまのかんざし,0,0,0,0,0,0
31189,[衣装] 赤いネコミミケープ,[いしょう] あかいねこみみけーぷ,0,0,0,0,0,0
19867,[衣装] 赤いパジャマ帽子,[いしょう] あかいぱじゃまぼうし,0,0,0,0,0,0
19607,[衣装] 赤いひよこちゃん,[いしょう] あかいひよこちゃん,0,0,0,0,0,0
19701,[衣装] 赤いボンネット,[いしょう] あかいぼんねっと,0,0,0,0,0,0
19609,[衣装] 赤いメガネ,[いしょう] あかいめがね,0,0,0,0,0,0
20224,[衣装] 赤いリボン,[いしょう] あかいりぼん,0,0,0,0,0,0
31254,[衣装] 赤兎馬帽,[いしょう] あかうさぎうまぼう,0,0,0,0,0,0
31662,[衣装] 赤頭巾,[いしょう] あかずきん,,0,0,0,0,0
20054,[衣装] 赤ちゃんのおしゃぶり,[いしょう] あかちゃんのおしゃぶり,0,0,0,0,0,0
20112,[衣装] アクアテンガロンハット,[いしょう] あくあてんがろんはっと,0,0,0,0,0,0
5912,[衣装] 悪魔の下僕,[いしょう] あくまのげぼく,0,0,0,0,0,0
19542,[衣装] あくまのささやき,[いしょう] あくまのささやき,0,0,0,0,0,0
31291,[衣装] 悪魔の羽帽子,[いしょう] あくまのはねぼうし,0,0,0,0,0,0
19621,[衣装] 悪魔の羽耳,[いしょう] あくまのはねみみ,0,0,0,0,0,0
19731,[衣装] 悪魔のヘアバンド,[いしょう] あくまのへあばんど,0,0,0,0,0,0
5981,[衣装] 悪魔の忘れもの,[いしょう] あくまのわすれもの,0,0,0,0,0,0
31199,[衣装] 顎ひげ,[いしょう] あごひげ,0,0,0,0,0,0
19553,[衣装] アサシンマスク,[いしょう] あさしんますく,0,0,0,0,0,0
31663,[衣装] アサラ精霊帽子,[いしょう] あさらせいれいぼうし,,0,0,0,0,0
19831,[衣装] 頭乗りフィーリル,[いしょう] あたまのりふぃーりる,0,0,0,0,0,0
19525,[衣装] 頭眼鏡,[いしょう] あたまめがね,0,0,0,0,0,0
19674,[衣装] 悪鬼の仮面,[いしょう] あっきのかめん,0,0,0,0,0,0
31533,[衣装] あったか黒猫マフラー,[いしょう] あったかくろねこまふらー,0,0,0,0,0,0
31300,[衣装] あったか猫マフラー,[いしょう] あったかねこまふらー,0,0,0,0,0,0
20315,[衣装] アナライズアイ,[いしょう] あならいずあい,0,0,0,0,0,0
19743,[衣装] アヌビスの帽子,[いしょう] あぬびすのぼうし,0,0,0,0,0,0
31242,[衣装] アヌビスの帽子(上段),[いしょう] あぬびすのぼうし(じょうだん),0,0,0,0,0,0
5913,[衣装] アネモスの仮面,[いしょう] あねもすのかめん,0,0,0,0,0,0
19704,[衣装] アフロかつら（赤）,[いしょう] あふろかつら（あか）,0,0,0,0,0,0
19705,[衣装] アフロかつら(黄),[いしょう] あふろかつら(き),0,0,0,0,0,0
19703,[衣装] アフロかつら(黒),[いしょう] あふろかつら(くろ),0,0,0,0,0,0
19683,[衣装] 甘いキャンディ,[いしょう] あまいきゃんでぃ,0,0,0,0,0,0
19827,[衣装] アミストルキャップ,[いしょう] あみすとるきゃっぷ,0,0,0,0,0,0
20197,[衣装] アミストルベレー,[いしょう] あみすとるべれー,0,0,0,0,0,0
20763,[衣装] アミストルリュック,[いしょう] あみすとるりゅっく,0,0,0,0,0,0
31174,[衣装] あやしいパン袋,[いしょう] あやしいぱんぶくろ,0,0,0,0,0,0
20388,[衣装] アヤム,[いしょう] あやむ,0,0,0,0,0,0
20217,[衣装] アラビアンヴェール,[いしょう] あらびあんヴぇーる,0,0,0,0,0,0
19791,[衣装] アラームの仮面,[いしょう] あらーむのかめん,0,0,0,0,0,0
31329,[衣装] アリスのウィッグ,[いしょう] ありすのうぃっぐ,0,0,0,0,0,0
31407,[衣装] アリスのウィッグ(桃),[いしょう] ありすのうぃっぐ(もも),0,0,0,0,0,0
31578,[衣装] アルケミストマスク,[いしょう] あるけみすとますく,0,0,0,0,0,0
20070,[衣装] アルパカのフード,[いしょう] あるぱかのふーど,0,0,0,0,0,0
19913,[衣装] あれ,[いしょう] あれ,0,0,0,0,0,0
20488,[衣装] 淡黄色のリボン,[いしょう] あわきいろのりぼん,0,0,0,0,0,0
31237,[衣装] 淡黄色のリボン(下段),[いしょう] あわきいろのりぼん(げだん),0,0,0,0,0,0
19641,[衣装] 暗黒の兜,[いしょう] あんこくのかぶと,0,0,0,0,0,0
19746,[衣装] 暗黒のフード,[いしょう] あんこくのふーど,0,0,0,0,0,0
31118,[衣装] 暗殺者の仮面,[いしょう] あんさつしゃのかめん,0,0,0,0,0,0
20115,[衣装] アンダーリムメガネ,[いしょう] あんだーりむめがね,0,0,0,0,0,0
31601,[衣装] アンダーリムメガネ(青),[いしょう] あんだーりむめがね(あお),,0,0,0,0,0
20286,[衣装] アンダーリムメガネ(赤),[いしょう] あんだーりむめがね(あか),0,0,0,0,0,0
20120,[衣装] アンテナ,[いしょう] あんてな,0,0,0,0,0,0
19759,[衣装] アンブレラハット,[いしょう] あんぶれらはっと,0,0,0,0,0,0
20220,[衣装] 暗夜のヴェール,[いしょう] あんやのヴぇーる,0,0,0,0,0,0
20236,[衣装] アークエンジェリング帽,[いしょう] あーくえんじぇりんぐぼう,0,0,0,0,0,0
31323,[衣装] イエローハンチングキャップ,[いしょう] いえろーはんちんぐきゃっぷ,0,0,0,0,0,0
31564,[衣装] 異形のヴェール,[いしょう] いぎょうのヴぇーる,,0,0,0,0,0
20400,[衣装] イクトゥスのロザリオ,[いしょう] いくとぅすのろざりお,0,0,0,0,0,0
31496,[衣装] イグドラシルクラウン,[いしょう] いぐどらしるくらうん,0,0,0,0,0,0
20375,[衣装] イグニスキャップ,[いしょう] いぐにすきゃっぷ,0,0,0,0,0,0
19934,[衣装] 生ける炎のテンガロンハット,[いしょう] いけるほのおのてんがろんはっと,0,0,0,0,0,0
31113,[衣装] 医者のヘアバンド,[いしょう] いしゃのへあばんど,0,0,0,0,0,0
19769,[衣装] いたずらな妖精,[いしょう] いたずらなようせい,0,0,0,0,0,0
20470,[衣装] 板チョコ,[いしょう] いたちょこ,0,0,0,0,0,0
20452,[衣装] 苺王子の冠,[いしょう] いちごおうじのかんむり,0,0,0,0,0,0
31175,[衣装] イチゴの帽子,[いしょう] いちごのぼうし,0,0,0,0,0,0
31527,[衣装] 一零四式虹の羽飾り,[いしょう] いちれいよんしきにじのはねかざり,0,0,0,0,0,0
31033,[衣装] 一般信徒の面,[いしょう] いっぱんしんとのめん,0,0,0,0,0,0
20414,[衣装] 偽りの冠,[いしょう] いつわりのかんむり,0,0,0,0,0,0
31402,[衣装] イドゥンの青りんご帽子,[いしょう] いどぅんのあおりんごぼうし,0,0,0,0,0,0
