id,item,HS,段階,精錬値,種別,where,npc,座標,コスト,ランダム,失敗,ロスト,備考,encant_id,encant,固定パターン
28362,剛腕のグローブ [1],4,0,0,アイテムエクスチェンジ,prontera,イセナ,80-66,スプレンディッドコイン100枚,0,0,0,"交換時自動付与,第２段",29012,ハイレベル,
28363,俊敏のグローブ [1],4,0,0,アイテムエクスチェンジ,prontera,イセナ,80-66,スプレンディッドコイン100枚,0,0,0,"交換時自動付与,第２段",29012,ハイレベル,
28364,知性のグローブ [1],4,0,0,アイテムエクスチェンジ,prontera,イセナ,80-66,スプレンディッドコイン100枚,0,0,0,"交換時自動付与,第２段",29012,ハイレベル,
28365,耐久のグローブ [1],4,0,0,アイテムエクスチェンジ,prontera,イセナ,80-66,スプレンディッドコイン100枚,0,0,0,"交換時自動付与,第２段",29012,ハイレベル,
28366,機敏のグローブ [1],4,0,0,アイテムエクスチェンジ,prontera,イセナ,80-66,スプレンディッドコイン100枚,0,0,0,"交換時自動付与,第２段",29012,ハイレベル,
28367,強運のグローブ [1],4,0,0,アイテムエクスチェンジ,prontera,イセナ,80-66,スプレンディッドコイン100枚,0,0,0,"交換時自動付与,第２段",29012,ハイレベル,
19050,ニーズヘッグ&ロキ帽 [1],4,0,0,12星座エンチャント,,,,,1,0,0,"期間限定,全スロット一括",4958,双児宮,
19050,ニーズヘッグ&ロキ帽 [1],4,0,0,12星座エンチャント,,,,,1,0,0,"期間限定,全スロット一括",4959,人馬宮,
19050,ニーズヘッグ&ロキ帽 [1],4,0,0,12星座エンチャント,,,,,1,0,0,"期間限定,全スロット一括",4960,宝瓶宮,
19050,ニーズヘッグ&ロキ帽 [1],4,0,0,12星座エンチャント,,,,,1,0,0,"期間限定,全スロット一括",4961,白羊宮,
19050,ニーズヘッグ&ロキ帽 [1],4,0,0,12星座エンチャント,,,,,1,0,0,"期間限定,全スロット一括",4962,巨蟹宮,
19050,ニーズヘッグ&ロキ帽 [1],4,0,0,12星座エンチャント,,,,,1,0,0,"期間限定,全スロット一括",4963,金牛宮,
19050,ニーズヘッグ&ロキ帽 [1],4,0,0,12星座エンチャント,,,,,1,0,0,"期間限定,全スロット一括",4964,磨羯宮,
19050,ニーズヘッグ&ロキ帽 [1],4,0,0,12星座エンチャント,,,,,1,0,0,"期間限定,全スロット一括",4965,双魚宮,
19050,ニーズヘッグ&ロキ帽 [1],4,0,0,12星座エンチャント,,,,,1,0,0,"期間限定,全スロット一括",4966,天蝎宮,
19050,ニーズヘッグ&ロキ帽 [1],4,0,0,12星座エンチャント,,,,,1,0,0,"期間限定,全スロット一括",4967,獅子宮,
19050,ニーズヘッグ&ロキ帽 [1],4,0,0,12星座エンチャント,,,,,1,0,0,"期間限定,全スロット一括",4968,処女宮,
19050,ニーズヘッグ&ロキ帽 [1],4,0,0,12星座エンチャント,,,,,1,0,0,"期間限定,全スロット一括",4969,天秤宮,
19050,ニーズヘッグ&ロキ帽 [1],3,0,0,12星座エンチャント,,,,,1,0,0,"期間限定,全スロット一括",4958,双児宮,
19050,ニーズヘッグ&ロキ帽 [1],3,0,0,12星座エンチャント,,,,,1,0,0,"期間限定,全スロット一括",4959,人馬宮,
19050,ニーズヘッグ&ロキ帽 [1],3,0,0,12星座エンチャント,,,,,1,0,0,"期間限定,全スロット一括",4960,宝瓶宮,
19050,ニーズヘッグ&ロキ帽 [1],3,0,0,12星座エンチャント,,,,,1,0,0,"期間限定,全スロット一括",4961,白羊宮,
19050,ニーズヘッグ&ロキ帽 [1],3,0,0,12星座エンチャント,,,,,1,0,0,"期間限定,全スロット一括",4962,巨蟹宮,
19050,ニーズヘッグ&ロキ帽 [1],3,0,0,12星座エンチャント,,,,,1,0,0,"期間限定,全スロット一括",4963,金牛宮,
