ID,アイテム名,素材アイテムなし,完成数,手数料,材料ID,材料,個数,where,NPC,座標,名称,前提クエ,備考
6365,アリーナコイン,1,1,8アリーナpt,,,,arena_room,ギム,105-93,アリーナ景品,,
6366,ターボトラックコイン,1,1,1ターボトラックpt,,,,turbo_room,景品交換員,93-117,ターボトラック景品,,
6368,エンドレスタワーコイン,0,1,,6000,闇の灰,1,alberta,灰色の魔女,202-79,,,
6367,カプラコイン,1,1,500カプラpt,,,,aldebaran,カプラ職員,51-218,,,厳密には建物の中の(79-161)
1187,グロリアスクレイモア,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
1281,グロリアスブラッディロア,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
1282,グロリアスジャマダハル,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
1310,グロリアスクリーヴァー,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
1382,グロリアスツーハンドアックス,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
1426,グロリアススピア,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
1486,グロリアスランス,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
1546,グロリアスモーニングスター,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
1576,グロリアスタブレット,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
1577,グロリアス黙示録,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
1640,グロリアスアークワンド,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
1641,グロリアス治癒の杖,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
1743,グロリアスハンターボウ,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
1826,グロリアスクロー,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
1827,グロリアスフィスト,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
1927,グロリアスギター,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
1981,グロリアスラリエット,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
2002,グロリアスウィザードスタッフ,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
13042,グロリアスダマスカス,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
13110,グロリアスハンドガン,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
13176,グロリアスライフル,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
13177,グロリアスガトリングガン,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
13178,グロリアスショットガン,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
13179,グロリアスグレネードガン,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
13307,グロリアス風魔手裏剣,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
13416,グロリアスフランベルジェ,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
13417,グロリアスレイピア,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
13418,グロリアスホーリーアヴェンジャー,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
2394,グロリアススーツ,0,1,,6364,GvGコイン,200,yuno,グロリアス,353-38,リンクシステム,,
2395,グロリアス量産型スーツ,0,1,,6364,GvGコイン,30,yuno,グロリアス,353-38,リンクシステム,,
2396,グロリアス普及用スーツ,0,1,,6364,GvGコイン,10,yuno,グロリアス,353-38,リンクシステム,,
2444,グロリアスシューズ,0,1,,6364,GvGコイン,200,yuno,グロリアス,353-38,リンクシステム,,
2445,グロリアス量産型シューズ,0,1,,6364,GvGコイン,20,yuno,グロリアス,353-38,リンクシステム,,
2446,グロリアス普及用シューズ,0,1,,6364,GvGコイン,10,yuno,グロリアス,353-38,リンクシステム,,
2549,グロリアスマフラー,0,1,,6364,GvGコイン,200,yuno,グロリアス,353-38,リンクシステム,,
2772,グロリアスリング,0,1,,6364,GvGコイン,1000,yuno,グロリアス,353-38,リンクシステム,,
2773,グロリアス量産型リング,0,1,,6364,GvGコイン,100,yuno,グロリアス,353-38,リンクシステム,,
2774,グロリアス普及用リング,0,1,,6364,GvGコイン,10,yuno,グロリアス,353-38,リンクシステム,,
1187,グロリアスクレイモア,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1281,グロリアスブラッディロア,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1282,グロリアスジャマダハル,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1310,グロリアスクリーヴァー,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1382,グロリアスツーハンドアックス,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1426,グロリアススピア,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1486,グロリアスランス,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1546,グロリアスモーニングスター,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1576,グロリアスタブレット,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1577,グロリアス黙示録,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1640,グロリアスアークワンド,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1641,グロリアス治癒の杖,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1743,グロリアスハンターボウ,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1826,グロリアスクロー,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1827,グロリアスフィスト,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1927,グロリアスギター,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
1981,グロリアスラリエット,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
2002,グロリアスウィザードスタッフ,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
13042,グロリアスダマスカス,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
13110,グロリアスハンドガン,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
13176,グロリアスライフル,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
13177,グロリアスガトリングガン,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
13178,グロリアスショットガン,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
13179,グロリアスグレネードガン,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
13307,グロリアス風魔手裏剣,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
13416,グロリアスフランベルジェ,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
13417,グロリアスレイピア,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
13418,グロリアスホーリーアヴェンジャー,0,1,,6365,アリーナコイン,200,yuno,グロリアス,353-38,リンクシステム,,
2394,グロリアススーツ,0,1,,6365,アリーナコイン,400,yuno,グロリアス,353-38,リンクシステム,,
2395,グロリアス量産型スーツ,0,1,,6365,アリーナコイン,50,yuno,グロリアス,353-38,リンクシステム,,
2396,グロリアス普及用スーツ,0,1,,6365,アリーナコイン,20,yuno,グロリアス,353-38,リンクシステム,,
2444,グロリアスシューズ,0,1,,6365,アリーナコイン,400,yuno,グロリアス,353-38,リンクシステム,,
2445,グロリアス量産型シューズ,0,1,,6365,アリーナコイン,50,yuno,グロリアス,353-38,リンクシステム,,
2446,グロリアス普及用シューズ,0,1,,6365,アリーナコイン,20,yuno,グロリアス,353-38,リンクシステム,,
2549,グロリアスマフラー,0,1,,6365,アリーナコイン,400,yuno,グロリアス,353-38,リンクシステム,,
