ID,完成アイテム名,作成方法,完成数,材料ID,材料アイテム名,必要数,触媒ID,触媒,スキル名,失敗,作成開始アイテムID,職制限,備考
523,聖水,0,1,713,空きビン,1,,,al_holywater,0,,アコライト系列,
12333,アンシラ,0,1,717,ブルージェムストーン,1,,,ab_ancilla,0,,アークビショップ,
12725,ナウシズルーンストーン,1,1～3,7939,エルダーの枝,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
12726,ライゾルーンストーン,1,1～3,7939,エルダーの枝,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
12727,ベルカナルーンストーン,1,1～3,7939,エルダーの枝,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
12728,イスルーンストーン,1,1～3,7939,エルダーの枝,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
12729,エイシルルーンストーン,1,1～3,7939,エルダーの枝,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
12730,ウルズルーンストーン,1,1～3,7939,エルダーの枝,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
12731,スリサズルーンストーン,1,1～3,7939,エルダーの枝,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
12732,ペオースルーンストーン,1,1～3,7939,エルダーの枝,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
12733,ハガラズルーンストーン,1,1～3,7939,エルダーの枝,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
22540,ラクスアニマルーンストーン,1,1～3,7939,エルダーの枝,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,スキルレベルに応じて完成数に幅
12725,ナウシズルーンストーン,1,1～3,12734,高級なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12726,ライゾルーンストーン,1,1～3,12734,高級なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12727,ベルカナルーンストーン,1,1～3,12734,高級なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12728,イスルーンストーン,1,1～3,12734,高級なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12729,エイシルルーンストーン,1,1～3,12734,高級なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12730,ウルズルーンストーン,1,1～3,12734,高級なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12731,スリサズルーンストーン,1,1～3,12734,高級なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12732,ペオースルーンストーン,1,1～3,12734,高級なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12733,ハガラズルーンストーン,1,1～3,12734,高級なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
22540,ラクスアニマルーンストーン,1,1～3,12734,高級なルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12725,ナウシズルーンストーン,1,1～3,12735,古代のルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12726,ライゾルーンストーン,1,1～3,12735,古代のルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12727,ベルカナルーンストーン,1,1～3,12735,古代のルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12728,イスルーンストーン,1,1～3,12735,古代のルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12729,エイシルルーンストーン,1,1～3,12735,古代のルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12730,ウルズルーンストーン,1,1～3,12735,古代のルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
12731,スリサズルーンストーン,1,1～3,12735,古代のルーン原石,1,,,rk_runemastery,1,12734-12735-12736-12737-12738,ルーンナイト,"スキルレベルに応じて完成数に幅,ルーン原石はいずれか1種でよい"
