"ID","MAPid","MAP","subMAP","NAME","COUNT","ITEM1","ITEM2","ITEM3","ITEM4","ITEM5","ITEM6","ITEM7","ITEM8"
"3184","1@air1","飛行船","2部屋目（船内上層）","スカイビホルダー","11","トゲの実 (28%)","ラフウィンド (0.33%)","アンティペインメント (0.67%)","エルニウム","古く青い箱","リンゴ","リンゴ","リンゴ"
"3182","1@air1","飛行船","2部屋目（船内上層）","スカイロータージャイロ","9","ジャルゴン (29.17%)","でっかいゼロピー (2.78%)","ハエの羽 (6.25%)","ガレット (3.47%)","アーマー","リンゴ","リンゴ","リンゴ"
"3183","1@air1","飛行船","3部屋目（船内下層）","スカイグレムリン","9","暗黒の意志 (28.15%)","べとべとする液体 (29.63%)","アメジスト (0.74%)","古く青い箱","リンゴ","リンゴ","リンゴ","リンゴ"
"3186","1@air1","飛行船","3部屋目（船内下層）","レッサーワイバーン","9","ドラゴンの牙 (13.73%)","ドラゴンの鱗 (18.3%)","ドラゴンの皮 (6.54%)","青の宝玉 (1.96%)","リンゴ","リンゴ","リンゴ","リンゴ"
"3184","1@air2","飛行船","4部屋目（船内上層）","スカイビホルダー","9","トゲの実 (28%)","ラフウィンド (0.33%)","アンティペインメント (0.67%)","エルニウム","古く青い箱","リンゴ","リンゴ","リンゴ"
"3185","1@air2","飛行船","4部屋目（船内上層）","ワイバーンキッド","9","ドラゴンの牙 (20.74%)","ドラゴンの皮 (5.19%)","光の粒 (2.22%)","黄の宝玉 (1.48%)","リンゴ","リンゴ","リンゴ","リンゴ"
"3181","1@air2","飛行船","5部屋目（甲板）：ペルロックは選択","暴走した船長ペルロック","1","ペルロックのスーツ [1] (27%)","ペルロックのマント [1] (23%)","ペルロックのブーツ [1] (27%)","エナジー<致命ノ一撃>","[衣装] ペルロックの帽子","リンゴ","リンゴ","リンゴ"
"3187","1@air2","飛行船","5部屋目（甲板）：ペルロックは選択","ワイバーン","1","鮮血の鱗 (5.54%)","宝箱 (4.07%)","エルニウム","リンゴ","リンゴ","リンゴ","リンゴ","リンゴ"
"3188","1@air2","飛行船","5部屋目（甲板）：ペルロックは選択","怒りの船長ペルロック","1","飛行船スーツ (34.78%)","飛行船マント (20.69%)","飛行船ブーツ (27.59%)","リンゴ","リンゴ","リンゴ","リンゴ","リンゴ"
"2192","1@cash","暴窟王の洞窟","西エリア初期","子分タコ","45","墨汁 (30%)","触手 (30%)","蛸壺の欠片 (1%)","海洋深層水 (1%)","リンゴ","リンゴ","リンゴ","子分タコカード (0.01%)"
"1068","1@cash","暴窟王の洞窟","西エリア初期","ヒドラ","7","にく (55%)","触手 (55%)","にく (55%)","べとべとする液体 (15%)","エンベルタコン (0.25%)","ディトリミン (0.2%)","万能薬 (0.05%)","ヒドラカード (0.01%)"
"1784","1@cash","暴窟王の洞窟","西エリア初期","スタポ","2","ゼロピー (10%)","ジュビリー (10%)","リンゴ (10%)","でっかいゼロピー (1%)","イエローライブ (0.1%)","サイズミックフィスト [3] (0.03%)","リンゴ (10%)","スタポカード (0.01%)"
"2193","1@cash","暴窟王の洞窟","西エリア初期","頭領タコの足","1","墨汁 (10%)","触手","べとべとする液体","蛸壺の欠片","海洋深層水","リンゴ","リンゴ","リンゴ"
